total_kv_blocks,max_batch_size,completed,rejected_or_timed_out,avg_latency,p99_latency,avg_wait_time,avg_memory_utilization,peak_memory_utilization,throughput_reqs_per_step,total_time
64,4,300,0,4157.32,8346.94,4036.51,0.4082,0.9219,0.0326,9192
64,8,300,0,1913.58,3856.0,1792.77,0.8069,1.0,0.0645,4650
64,16,300,0,1064.41,3379.28,943.6,0.9114,1.0,0.0729,4117
64,32,300,0,979.61,3316.23,858.79,0.9283,1.0,0.0742,4042
128,4,300,0,4157.32,8346.94,4036.51,0.2041,0.4609,0.0326,9192
128,8,300,0,1915.66,3855.99,1794.85,0.404,0.8516,0.0646,4644
128,16,300,0,804.09,1648.77,683.28,0.7727,1.0,0.1236,2428
128,32,300,0,420.43,1413.75,299.62,0.8895,1.0,0.1422,2109
256,4,300,0,4157.32,8346.94,4036.51,0.102,0.2305,0.0326,9192
256,8,300,0,1915.66,3855.99,1794.85,0.202,0.4258,0.0646,4644
256,16,300,0,804.64,1655.71,683.82,0.3871,0.6406,0.1238,2423
256,32,300,0,268.6,575.98,147.79,0.715,1.0,0.2287,1312
512,4,300,0,4157.32,8346.94,4036.51,0.051,0.1152,0.0326,9192
512,8,300,0,1915.66,3855.99,1794.85,0.101,0.2129,0.0646,4644
512,16,300,0,804.64,1655.71,683.82,0.1936,0.3203,0.1238,2423
512,32,300,0,268.86,574.0,148.05,0.3575,0.5586,0.2287,1312
