policy,batch_size,completed,avg_latency,p95_latency,p99_latency,avg_wait_time,avg_ttft,p95_ttft,p99_ttft,avg_decode_time,avg_tpot,total_time,throughput_reqs_per_step
fifo,1,300,18004.97,35244.55,37238.42,17877.83,17880.17,35116.55,36984.34,124.8,1.0,38444,0.0078
fifo,2,300,8801.3,17222.95,18137.39,8674.16,8676.5,17094.95,18037.75,124.8,1.0,19278,0.0156
fifo,4,300,4202.93,8238.75,8675.58,4075.78,4078.13,8110.75,8513.95,124.8,1.0,9761,0.0307
fifo,8,300,1908.19,3737.95,3971.52,1781.05,1783.39,3613.8,3820.36,124.8,1.0,4981,0.0602
fifo,16,300,768.76,1493.7,1657.75,641.61,643.96,1325.0,1429.94,124.8,1.0,2572,0.1166
fifo,32,300,222.43,438.75,508.98,95.28,97.63,248.9,274.93,124.8,1.0,1416,0.2119
shortest_job_first,1,300,11945.05,34068.5,37053.49,11817.91,11820.25,33812.5,36797.49,124.8,1.0,38444,0.0078
shortest_job_first,2,300,5785.03,16677.6,18098.99,5657.89,5660.23,16421.6,17842.99,124.8,1.0,19227,0.0156
shortest_job_first,4,300,2745.08,8062.55,8712.37,2617.93,2620.28,7806.55,8456.37,124.8,1.0,9764,0.0307
shortest_job_first,8,300,1233.13,3727.75,4028.89,1105.99,1108.33,3471.75,3772.89,124.8,1.0,4916,0.061
shortest_job_first,16,300,493.98,1539.95,1643.99,366.83,369.18,1283.95,1387.99,124.8,1.0,2523,0.1189
shortest_job_first,32,300,181.01,540.95,588.99,53.86,56.21,284.95,332.99,124.8,1.0,1386,0.2165
priority,1,300,18430.15,35781.85,37297.49,18303.0,18305.35,35525.85,37042.77,124.8,1.0,38444,0.0078
priority,2,300,9015.81,17525.15,18295.64,8888.67,8891.01,17300.9,18040.92,124.8,1.0,19263,0.0156
priority,4,300,4319.68,8448.85,8753.09,4192.53,4194.88,8201.7,8544.8,124.8,1.0,9710,0.0309
priority,8,300,1977.8,3874.75,4075.11,1850.66,1853.0,3711.0,3826.96,124.8,1.0,4934,0.0608
priority,16,300,794.73,1775.8,1854.99,667.59,669.93,1586.85,1599.99,124.8,1.0,2555,0.1174
priority,32,300,233.77,650.75,834.55,106.62,108.97,533.95,637.97,124.8,1.0,1402,0.214
